id,home_project,project_count,issue_count,avg_bot_ratio
luyi1994,apache_apisix,1,3,0.3333333333333333
oxcz,apache_apisix,1,2,0.5
smalls0098,apache_apisix,1,1,0.0
4FunAndProfit,apache_apisix,1,1,0.0
opencmit2,apache_apisix,1,1,0.0
DevSusu,apache_apisix,1,1,1.0
archine,apache_apisix,1,1,1.0
lyouthzzz,apache_apisix,1,1,1.0
qingconglaixueit,apache_apisix,1,1,1.0
fairyqb,apache_apisix,1,3,1.0
darkSheep404,apache_apisix,1,7,0.2857142857142857
wklken,apache_apisix,1,32,0.34375
geekgao,apache_apisix,1,1,1.0
markokocic,apache_apisix,1,9,0.2222222222222222
tanmaymohan,apache_apisix,1,1,1.0
tanujjjj,apache_apisix,1,1,1.0
FangSen9000,apache_apisix,1,2,0.5
xzycn,apache_apisix,1,1,1.0
ali-mahdavi-mehr,apache_apisix,1,1,1.0
jialechan,apache_apisix,1,1,1.0
boh001,apache_apisix,1,1,1.0
wigm4n,apache_apisix,1,1,1.0
JoniJnm,apache_apisix,1,1,1.0
zzl-code,apache_apisix,1,1,1.0
reagan-mcfadden,apache_apisix,1,1,1.0
Xb990219,apache_apisix,1,1,1.0
Fabriceli,apache_apisix,1,22,0.22727272727272727
bestjane,apache_apisix,1,1,1.0
eric-yq,apache_apisix,1,1,1.0
ShaunMaher,apache_apisix,1,1,1.0
grencik,apache_apisix,1,2,1.0
qingyanbaby,apache_apisix,1,1,1.0
bpasson,apache_apisix,1,1,1.0
qiyuan4f,apache_apisix,1,1,1.0
ahululu,apache_apisix,1,3,1.0
bwangll,apache_apisix,1,2,0.5
caibirdme,apache_apisix,1,8,0.5
MASIJUN99,apache_apisix,1,1,1.0
fanyu-byte,apache_apisix,1,1,1.0
HuanXin-Chen,apache_apisix,1,1,1.0
zjc1750514326,apache_apisix,1,1,1.0
jiangdongzi,apache_apisix,1,3,1.0
Coderyangg,apache_apisix,1,5,0.6
konglua89,apache_apisix,1,1,1.0
hwddong,apache_apisix,1,1,1.0
shihuncl,apache_apisix,1,1,1.0
MohamedKHALILRouissi,apache_apisix,1,3,0.6666666666666666
nongtingchao,apache_apisix,1,1,1.0
D-Brio7,apache_apisix,1,1,1.0
Fsystem,apache_apisix,1,1,1.0
JorgeAraujo123,apache_apisix,1,1,1.0
KyawNaingTun,apache_apisix,1,1,1.0
myhgc,apache_apisix,1,1,1.0
arbor-95,apache_apisix,1,1,1.0
yikangfeng01,apache_apisix,1,3,1.0
MichaelLLC,apache_apisix,1,1,1.0
xx-zhang,apache_apisix,1,3,0.6666666666666666
chenyyyang,apache_apisix,1,6,0.16666666666666666
ZpitQ,apache_apisix,1,1,1.0
coco961003,apache_apisix,1,3,0.3333333333333333
dahmoulayebrahim,apache_apisix,1,1,0.0
caihonghaoCYF,apache_apisix,1,1,1.0
lakewatcher,apache_apisix,1,8,0.5
br41n10,apache_apisix,1,2,0.0
jiangfucheng,apache_apisix,1,54,0.2222222222222222
zzqCh,apache_apisix,1,9,0.3333333333333333
githubxubin,apache_apisix,1,42,0.11904761904761904
Sn0rt,apache_apisix,1,157,0.28662420382165604
